EvidenceID,CaseMasterID,EvidenceType,Description,CollectionDate
2158,966,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2022-10-29
2159,966,Travel Document,Travel/identity documents of the victim seized during the investigation.,2022-11-13
2160,966,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2022-11-01
2161,966,Rescue Report,Rescue operation report prepared by the investigating team.,2022-11-02
2162,966,Victim Statement Record,Detailed statement of the victim recorded regarding the incident.,2022-11-13
2163,967,Seized Property List,Inventory list of property seized from the scene under panchnama.,2026-06-21
2164,968,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2026-08-23
2165,968,Travel Document,Travel/identity documents of the victim seized during the investigation.,2026-08-01
2166,969,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2026-01-15
2167,970,Device Forensic Report,Forensic imaging and analysis report of the seized electronic device.,2024-12-15
2168,970,Server Log,Server access logs obtained from the platform involved in the incident.,2024-12-05
2169,970,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2024-10-28
2170,971,Tool Mark Analysis,Tool marks found at the point of entry sent for forensic comparison.,2024-07-14
2171,972,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2024-02-13
2172,973,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-04-23
2173,973,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2023-03-28
2174,974,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2022-08-16
2175,975,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2024-02-27
2176,975,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2024-04-03
2177,975,CCTV Footage,CCTV footage obtained from the main road junction covering the period of the incident.,2024-02-27
2178,976,Mechanical Inspection Report,Mechanical inspection report of the vehicle involved in the incident.,2025-11-19
2179,977,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-06-13
2180,978,Weighment Report,Weighment report of the seized contraband prepared in presence of witnesses.,2022-09-30
2181,978,Chemical Analysis Report,Chemical analysis report confirming the composition of the seized substance.,2022-10-13
2182,978,Seized Narcotic Substance,Narcotic substance seized from the accused and sealed as case property.,2022-10-16
2183,978,Seizure Photograph,Photographs taken at the time of seizure of case property.,2022-09-02
2184,979,Tool Mark Analysis,Tool marks found at the point of entry sent for forensic comparison.,2022-12-23
2185,980,Seizure Photograph,Photographs taken at the time of seizure of case property.,2026-02-03
2186,980,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2025-12-25
2187,980,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2026-01-24
2188,981,Seizure Photograph,Photographs taken at the time of seizure of case property.,2023-01-30
2189,981,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2023-01-23
2190,981,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2023-01-17
2191,982,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2025-02-01
2192,982,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-01-02
2193,982,Rescue Report,Rescue operation report prepared by the investigating team.,2025-01-28
2194,983,Mechanical Inspection Report,Mechanical inspection report of the vehicle involved in the incident.,2024-04-04
2195,984,Travel Document,Travel/identity documents of the victim seized during the investigation.,2025-10-25
2196,984,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2025-12-11
2197,985,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-12-16
2198,985,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2025-11-10
2199,986,Video Recording,Video recording of the incident obtained from bystanders/media sources.,2025-01-10
2200,986,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2024-11-26
2201,987,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2025-10-26
2202,987,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-10-05
2203,987,Seized Property List,Inventory list of property seized from the scene under panchnama.,2025-09-30
2204,987,Seized Property List,Inventory list of property seized from the scene under panchnama.,2025-10-16
2205,988,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2026-02-03
2206,988,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2026-01-26
2207,989,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2023-02-12
2208,989,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2023-02-20
2209,989,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2023-02-06
2210,989,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-02-28
2211,990,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2025-04-14
2212,990,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-03-08
2213,990,Tool Mark Analysis,Tool marks found at the point of entry sent for forensic comparison.,2025-03-21
2214,991,Seizure Photograph,Photographs taken at the time of seizure of case property.,2022-11-09
2215,991,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2022-10-31
2216,991,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2022-10-20
2217,992,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-07-27
2218,992,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2023-09-20
2219,992,Seized Property List,Inventory list of property seized from the scene under panchnama.,2023-08-31
2220,993,Digital Communication Record,Digital communication records recovered relevant to the case.,2025-04-28
2221,994,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2024-04-28
2222,995,Rescue Report,Rescue operation report prepared by the investigating team.,2024-10-17
2223,995,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2024-11-15
2224,995,Travel Document,Travel/identity documents of the victim seized during the investigation.,2024-10-14
2225,996,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2022-06-27
2226,997,Bank Statement,Bank statement of the victim obtained to trace the fraudulent transaction.,2025-03-19
2227,999,Seizure Photograph,Photographs taken at the time of seizure of case property.,2022-12-14
2228,1000,Bank Statement,Bank statement of the victim obtained to trace the fraudulent transaction.,2024-07-08
2229,1000,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2024-07-28
2230,1000,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2024-07-11
2231,1000,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2024-07-17
2232,1000,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2024-07-08
2233,1000,CCTV Footage,CCTV footage obtained from the main road junction covering the period of the incident.,2024-07-21
2234,1001,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2026-03-31
2235,1002,Victim Statement Record,Detailed statement of the victim recorded regarding the incident.,2024-07-13
2236,1002,Rescue Report,Rescue operation report prepared by the investigating team.,2024-08-08
2237,1003,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2022-07-30
2238,1004,Seizure Photograph,Photographs taken at the time of seizure of case property.,2025-11-14
2239,1005,Seized Narcotic Substance,Narcotic substance seized from the accused and sealed as case property.,2025-01-07
2240,1006,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2024-09-25
2241,1006,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2024-08-13
2242,1006,CCTV Footage,CCTV footage obtained from a commercial establishment covering the period of the incident.,2024-09-26
2243,1008,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2022-09-15
2244,1008,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2022-07-23
2245,1009,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2024-05-17
2246,1009,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2024-04-23
2247,1009,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2024-05-02
2248,1009,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2024-04-25
2249,1010,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2025-07-27
2250,1011,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2026-11-11
2251,1013,Seized Document,Documents seized from the accused relevant to the investigation.,2026-04-20
2252,1013,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2026-05-23
2253,1015,Blood Sample,Blood sample collected from the scene of occurrence for forensic DNA analysis.,2022-12-10
2254,1015,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2022-12-29
2255,1016,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-09-13
2256,1017,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2026-10-06
2257,1018,Server Log,Server access logs obtained from the platform involved in the incident.,2024-05-06
2258,1018,IP Access Log,IP access logs obtained from the service provider linked to the reported activity.,2024-04-29
2259,1019,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2025-11-13
2260,1019,IP Access Log,IP access logs obtained from the service provider linked to the reported activity.,2025-09-26
2261,1019,Screenshot Evidence,Screenshots of the fraudulent communication submitted by the complainant.,2025-10-26
2262,1019,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2025-10-01
2263,1020,IP Access Log,IP access logs obtained from the service provider linked to the reported activity.,2023-06-03
2264,1020,Screenshot Evidence,Screenshots of the fraudulent communication submitted by the complainant.,2023-06-23
2265,1020,Server Log,Server access logs obtained from the platform involved in the incident.,2023-05-08
2266,1020,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2023-05-12
2267,1020,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2023-06-17
2268,1021,CCTV Footage,CCTV footage obtained from the scene of occurrence covering the period of the incident.,2023-05-11
2269,1021,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2023-05-16
2270,1021,Bank Statement,Bank statement of the victim obtained to trace the fraudulent transaction.,2023-06-14
2271,1022,Seizure Photograph,Photographs taken at the time of seizure of case property.,2026-12-20
2272,1023,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2026-08-05
2273,1023,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2026-08-13
2274,1023,Rescue Report,Rescue operation report prepared by the investigating team.,2026-07-23
2275,1024,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2025-08-04
2276,1025,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2025-03-04
2277,1025,Device Forensic Report,Forensic imaging and analysis report of the seized electronic device.,2025-02-15
2278,1025,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2025-02-23
2279,1025,Screenshot Evidence,Screenshots of the fraudulent communication submitted by the complainant.,2025-03-12
2280,1026,Seizure Photograph,Photographs taken at the time of seizure of case property.,2024-09-21
2281,1026,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2024-10-06
2282,1026,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2024-11-07
2283,1026,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2024-10-19
2284,1027,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2025-04-01
2285,1027,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2025-02-22
2286,1028,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-08-29
2287,1028,Video Recording,Video recording of the incident obtained from bystanders/media sources.,2025-07-08
2288,1029,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2025-12-12
2289,1029,Audit Report,Audit report obtained to verify financial irregularities alleged in the case.,2026-01-23
2290,1030,Seizure Photograph,Photographs taken at the time of seizure of case property.,2026-07-02
2291,1031,Seized Document,Documents seized from the accused relevant to the investigation.,2022-10-25
2292,1031,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2022-12-21
2293,1033,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2026-05-05
2294,1033,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2026-05-02
2295,1034,Blood Sample,Blood sample collected from the scene of occurrence for forensic DNA analysis.,2025-01-22
2296,1034,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2025-01-29
2297,1034,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-02-09
2298,1035,Audit Report,Audit report obtained to verify financial irregularities alleged in the case.,2025-03-05
2299,1035,Digital Ledger,Digital transaction ledger recovered from the accused's device/premises.,2025-02-22
2300,1036,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2022-06-20
2301,1037,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2023-04-23
2302,1037,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2023-04-15
2303,1038,CCTV Footage,CCTV footage obtained from the main road junction covering the period of the incident.,2025-04-08
2304,1038,Blood Sample,Blood sample collected from the scene of occurrence for forensic DNA analysis.,2025-02-25
2305,1039,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2024-09-26
2306,1039,CCTV Footage,CCTV footage obtained from the main road junction covering the period of the incident.,2024-08-08
2307,1039,Blood Sample,Blood sample collected from the scene of occurrence for forensic DNA analysis.,2024-08-23
2308,1040,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2022-05-05
2309,1041,Seizure Photograph,Photographs taken at the time of seizure of case property.,2024-06-10
2310,1041,Seized Narcotic Substance,Narcotic substance seized from the accused and sealed as case property.,2024-07-29
2311,1041,Chemical Analysis Report,Chemical analysis report confirming the composition of the seized substance.,2024-07-27
2312,1042,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2023-02-09
2313,1043,Audit Report,Audit report obtained to verify financial irregularities alleged in the case.,2023-10-24
2314,1043,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2023-10-22
2315,1043,Digital Ledger,Digital transaction ledger recovered from the accused's device/premises.,2023-10-18
2316,1044,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2024-03-09
2317,1044,Server Log,Server access logs obtained from the platform involved in the incident.,2024-02-17
2318,1045,CCTV Footage,CCTV footage obtained from a commercial establishment covering the period of the incident.,2025-05-29
2319,1046,Digital Communication Record,Digital communication records recovered relevant to the case.,2024-02-06
2320,1046,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2024-01-03
2321,1047,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2024-08-09
2322,1047,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2024-07-22
2323,1049,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2022-08-14
2324,1049,Blood Sample,Blood sample collected from the scene of occurrence for forensic DNA analysis.,2022-06-25
2325,1049,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2022-07-29
2326,1050,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2022-06-09
2327,1050,Mechanical Inspection Report,Mechanical inspection report of the vehicle involved in the incident.,2022-05-12
2328,1051,Seized Document,Documents seized from the accused relevant to the investigation.,2023-10-01
2329,1051,Digital Communication Record,Digital communication records recovered relevant to the case.,2023-09-27
2330,1052,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2022-04-11
2331,1053,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2023-12-12
2332,1053,Vehicle Damage Report,Vehicle damage inspection report prepared by the motor vehicle inspector.,2023-12-14
2333,1053,Mechanical Inspection Report,Mechanical inspection report of the vehicle involved in the incident.,2024-01-13
2334,1055,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2023-03-03
2335,1055,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2023-04-02
2336,1055,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2023-03-27
2337,1056,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2024-09-22
2338,1056,Server Log,Server access logs obtained from the platform involved in the incident.,2024-10-02
2339,1056,IP Access Log,IP access logs obtained from the service provider linked to the reported activity.,2024-11-05
2340,1056,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2024-09-20
2341,1057,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2024-05-26
2342,1057,Seized Property List,Inventory list of property seized from the scene under panchnama.,2024-04-06
2343,1059,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2026-11-20
2344,1059,Screenshot Evidence,Screenshots of the fraudulent communication submitted by the complainant.,2026-11-24
2345,1059,IP Access Log,IP access logs obtained from the service provider linked to the reported activity.,2026-11-25
2346,1059,Device Forensic Report,Forensic imaging and analysis report of the seized electronic device.,2027-01-01
2347,1060,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-07-26
2348,1060,Seized Property List,Inventory list of property seized from the scene under panchnama.,2023-07-18
2349,1061,Seized Property List,Inventory list of property seized from the scene under panchnama.,2026-10-10
2350,1061,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2026-11-23
2351,1061,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2026-11-20
2352,1062,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2026-10-05
2353,1063,Seized Weapon/Object,Object used during the incident seized and produced before the court.,2026-03-21
2354,1063,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2026-04-05
2355,1064,Seized Document,Documents seized from the accused relevant to the investigation.,2023-03-03
2356,1064,Digital Communication Record,Digital communication records recovered relevant to the case.,2023-02-12
2357,1064,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2023-03-16
2358,1067,Weapon Recovery,Weapon suspected to be used in the offence recovered from the scene of occurrence and sent for forensic examination.,2023-10-18
2359,1067,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2023-10-11
2360,1068,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2025-11-13
2361,1068,Digital Communication Record,Digital communication records recovered relevant to the case.,2025-12-04
2362,1068,Seized Document,Documents seized from the accused relevant to the investigation.,2025-10-11
2363,1068,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2025-10-18
2364,1069,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2026-08-26
2365,1070,Bank Statement,Bank statement of the victim obtained to trace the fraudulent transaction.,2025-12-11
2366,1070,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-10-16
2367,1071,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2026-07-02
2368,1071,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2026-07-14
2369,1072,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2023-10-10
2370,1073,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2024-06-12
2371,1073,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2024-06-25
2372,1073,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2024-06-17
2373,1073,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2024-06-21
2374,1073,CCTV Footage,CCTV footage obtained from the main road junction covering the period of the incident.,2024-07-23
2375,1074,Seized Document,Documents seized from the accused relevant to the investigation.,2025-11-22
2376,1075,Seizure Photograph,Photographs taken at the time of seizure of case property.,2025-01-14
2377,1075,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2024-12-27
2378,1076,Digital Communication Record,Digital communication records recovered relevant to the case.,2023-05-07
2379,1077,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2022-05-05
2380,1078,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2025-06-29
2381,1078,Mechanical Inspection Report,Mechanical inspection report of the vehicle involved in the incident.,2025-07-19
2382,1079,Blood Sample,Blood sample collected from the scene of occurrence for forensic DNA analysis.,2025-08-11
2383,1079,Post-Mortem Report,Post-mortem report obtained detailing cause and time of death.,2025-09-01
2384,1079,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-08-23
2385,1081,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2024-12-26
2386,1081,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2025-01-06
2387,1081,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2024-12-27
2388,1083,Seizure Photograph,Photographs taken at the time of seizure of case property.,2022-11-12
2389,1084,Bank Statement,Bank statement of the victim obtained to trace the fraudulent transaction.,2026-05-20
2390,1085,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2023-11-03
2391,1085,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2023-10-24
2392,1085,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2023-12-15
2393,1086,Digital Communication Record,Digital communication records recovered relevant to the case.,2024-06-11
2394,1087,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2023-10-30
2395,1087,Travel Document,Travel/identity documents of the victim seized during the investigation.,2023-09-16
2396,1088,Seized Property List,Inventory list of property seized from the scene under panchnama.,2023-03-07
2397,1088,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-04-08
2398,1088,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2023-04-19
2399,1089,Server Log,Server access logs obtained from the platform involved in the incident.,2025-06-29
2400,1089,Screenshot Evidence,Screenshots of the fraudulent communication submitted by the complainant.,2025-06-11
2401,1091,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2022-11-26
2402,1091,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2022-12-06
2403,1092,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2023-08-05
2404,1092,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2023-06-11
2405,1093,Victim Statement Record,Detailed statement of the victim recorded regarding the incident.,2023-09-28
2406,1093,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-10-01
2407,1095,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2026-09-24
2408,1095,Vehicle Damage Report,Vehicle damage inspection report prepared by the motor vehicle inspector.,2026-08-15
2409,1096,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2026-01-25
2410,1096,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2026-01-19
2411,1096,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2026-01-13
2412,1097,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2025-10-20
2413,1097,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-11-07
2414,1098,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2024-06-05
2415,1099,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2022-03-22
2416,1099,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2022-04-17
2417,1099,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2022-03-26
2418,1100,Video Recording,Video recording of the incident obtained from bystanders/media sources.,2022-10-14
2419,1100,Seized Weapon/Object,Object used during the incident seized and produced before the court.,2022-08-21
2420,1100,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2022-09-20
2421,1101,Weapon Recovery,Weapon suspected to be used in the offence recovered from the main road junction and sent for forensic examination.,2026-07-05
2422,1102,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-02-04
2423,1102,Seized Weapon/Object,Object used during the incident seized and produced before the court.,2023-01-08
2424,1102,CCTV Footage,CCTV footage obtained from a commercial establishment covering the period of the incident.,2022-12-11
2425,1103,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2023-02-08
2426,1103,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2022-12-28
2427,1103,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2023-01-29
2428,1103,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2023-01-29
2429,1104,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-11-22
2430,1104,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2023-12-11
2431,1105,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2027-01-29
2432,1105,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2026-12-24
2433,1106,CCTV Footage,CCTV footage obtained from a commercial establishment covering the period of the incident.,2026-06-21
2434,1106,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2026-07-06
2435,1106,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2026-06-22
2436,1108,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2025-07-15
2437,1109,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-05-05
2438,1109,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2025-05-06
2439,1110,Tool Mark Analysis,Tool marks found at the point of entry sent for forensic comparison.,2025-07-15
2440,1110,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2025-08-11
2441,1110,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-07-06
2442,1110,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2025-07-05
2443,1111,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2026-12-23
2444,1112,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2024-10-16
2445,1112,Seized Financial Record,Financial records seized from the premises during search.,2024-11-19
2446,1112,Audit Report,Audit report obtained to verify financial irregularities alleged in the case.,2024-10-17
2447,1112,Forged Document,Suspected forged document seized and sent for handwriting/document examination.,2024-10-22
2448,1112,Digital Ledger,Digital transaction ledger recovered from the accused's device/premises.,2024-11-22
2449,1113,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2022-10-18
2450,1113,Device Forensic Report,Forensic imaging and analysis report of the seized electronic device.,2022-10-06
2451,1113,Screenshot Evidence,Screenshots of the fraudulent communication submitted by the complainant.,2022-10-13
2452,1113,Server Log,Server access logs obtained from the platform involved in the incident.,2022-10-15
2453,1113,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2022-11-04
2454,1115,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2023-10-03
2455,1116,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2023-01-18
2456,1116,Vehicle Damage Report,Vehicle damage inspection report prepared by the motor vehicle inspector.,2023-01-17
2457,1116,Mechanical Inspection Report,Mechanical inspection report of the vehicle involved in the incident.,2022-12-17
2458,1117,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2024-01-07
2459,1117,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2023-12-23
2460,1118,Digital Communication Record,Digital communication records recovered relevant to the case.,2024-12-20
2461,1118,Seized Document,Documents seized from the accused relevant to the investigation.,2024-12-17
2462,1119,Seized Document,Documents seized from the accused relevant to the investigation.,2025-07-20
2463,1119,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2025-07-14
2464,1120,IP Access Log,IP access logs obtained from the service provider linked to the reported activity.,2026-03-01
2465,1120,Server Log,Server access logs obtained from the platform involved in the incident.,2026-04-07
2466,1121,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2022-08-26
2467,1122,Weighment Report,Weighment report of the seized contraband prepared in presence of witnesses.,2023-05-19
2468,1122,Seizure Photograph,Photographs taken at the time of seizure of case property.,2023-06-19
2469,1123,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2022-09-30
2470,1123,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2022-08-27
2471,1124,Bank Statement,Bank statement of the victim obtained to trace the fraudulent transaction.,2026-05-31
2472,1124,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2026-05-21
2473,1124,CCTV Footage,CCTV footage obtained from the main road junction covering the period of the incident.,2026-06-27
2474,1124,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2026-06-02
